MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE
0.18492567539215088,inf,0.07289358228445053,0.26998811960220337,0.18492062389850616,0.07720988243818283,0.0728825181722641,0.26996761560440063
0.23451252281665802,inf,0.12332640588283539,0.3511785864830017,0.23450717329978943,0.09366058558225632,0.1233137771487236,0.35116061568260193
0.2761937975883484,inf,0.17248164117336273,0.4153091013431549,0.2761918008327484,0.1179996132850647,0.17247174680233002,0.41529718041419983
0.3014734387397766,inf,0.2066393345594406,0.4545759856700897,0.30146729946136475,0.11687923222780228,0.20661701261997223,0.45455142855644226
0.3230612874031067,inf,0.2382996827363968,0.4881594777107239,0.3230527937412262,0.12618602812290192,0.23827289044857025,0.4881320297718048
0.33992549777030945,inf,0.26785239577293396,0.5175445675849915,0.33992013335227966,0.1308731585741043,0.26782047748565674,0.5175137519836426
0.36177194118499756,inf,0.29903337359428406,0.5468394160270691,0.3617599606513977,0.13458029925823212,0.29898741841316223,0.5467973947525024
0.3763658404350281,inf,0.32967498898506165,0.5741733312606812,0.37634435296058655,0.1434662789106369,0.32955509424209595,0.5740689039230347
0.3889704644680023,inf,0.35599249601364136,0.5966510772705078,0.38895881175994873,0.14930741488933563,0.35590824484825134,0.596580445766449
0.4034467935562134,inf,0.3803764581680298,0.6167466640472412,0.40343552827835083,0.1499556303024292,0.3802779018878937,0.6166667938232422
0.41604045033454895,inf,0.4037090539932251,0.6353810429573059,0.41602370142936707,0.15581262111663818,0.40355151891708374,0.6352570652961731
0.42393404245376587,inf,0.41804805397987366,0.6465663313865662,0.4239063560962677,0.16265882551670074,0.41785576939582825,0.6464176177978516
